sample	pop	pop_desc	country	group	subgroup	study	sample_age	description	lat	long
AMZ34	AKW	Assurini Kwatinemo	Brazil	NAT	Amazon	This	Contemporan	Assurini Kwatinemo	-4.25877	-52.27844
AMZ36	AKW	Assurini Kwatinemo	Brazil	NAT	Amazon	This	Contemporan	Assurini Kwatinemo	-4.25877	-52.27844
AMZ10	AKW	Assurini Kwatinemo	Brazil	NAT	Amazon	This	Contemporan	Assurini Kwatinemo	-4.25877	-52.27844
AMZ20	AKW	Assurini Kwatinemo	Brazil	NAT	Amazon	This	Contemporan	Assurini Kwatinemo	-4.25877	-52.27844
AMZ30	AKW	Assurini Kwatinemo	Brazil	NAT	Amazon	This	Contemporan	Assurini Kwatinemo	-4.25877	-52.27844
AMZ38	ARA	Arara	Brazil	NAT	Amazon	This	Contemporan	Arara	-4.31902	-54.0325
AMZ13	ARA	Arara	Brazil	NAT	Amazon	This	Contemporan	Arara	-4.31902	-54.0325
AMZ7	ARA	Arara	Brazil	NAT	Amazon	This	Contemporan	Arara	-4.31902	-54.0325
AMZ19	ARA	Arara do Iriri	Brazil	NAT	Amazon	This	Contemporan	Arara Iriri	-4.31902	-54.03625
AMZ40	ARA	Arara do Iriri	Brazil	NAT	Amazon	This	Contemporan	Arara Iriri	-4.31902	-54.03625
AMZ8	ARA	Arara do Iriri	Brazil	NAT	Amazon	This	Contemporan	Arara Iriri	-4.31902	-54.03625
AMZ48	ARW	Araweté	Brazil	NAT	Amazon	This	Contemporan	Araweté	-4.85015	-52.036521
AMZ25	ARW	Araweté	Brazil	NAT	Amazon	This	Contemporan	Araweté	-4.85015	-52.036521
AMZ35	ARW	Araweté	Brazil	NAT	Amazon	This	Contemporan	Araweté	-4.85015	-52.036521
AMZ49	ARW	Araweté	Brazil	NAT	Amazon	This	Contemporan	Araweté	-4.85015	-52.036521
AMZ6	ARW	Araweté	Brazil	NAT	Amazon	This	Contemporan	Araweté	-4.85015	-52.036521
AMZ29	ARW	Araweté	Brazil	NAT	Amazon	This	Contemporan	Araweté	-4.85015	-52.036521
AMZ32	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
AMZ12	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
AMZ22	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
AMZ4	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
AMZ41	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
AMZ56	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
AMZ58	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
AMZ2	AST	Assurini do Trocará	Brazil	NAT	Amazon	This	Contemporan	Assurini Trocará	-3.57956	-49.71828
